over65,renter,has_welfare,avg_stress,sum(Weight_HH_HES)
18-65,FALSE,has welfare,0.234210000086607,2122954.26548815
18-65,FALSE,no welfare,0.0892517330168484,2647984.06477737
18-65,TRUE,has welfare,0.712972292454384,1123015.12009382
18-65,TRUE,no welfare,0.237193888415601,1103244.60344696
65+,FALSE,has welfare,0.0519011919314495,1126607.85876989
65+,FALSE,no welfare,0,98501.7248268127
65+,TRUE,has welfare,0.247207924002708,174430.076633692
65+,TRUE,no welfare,0,1782.68438720703
