Occupation_description,Claiming PP losses,Not claiming
Labourers,0.003139255407857949,0.003139255407857949
Sales workers,0.0017247987734764277,0.0017247987734764277
Community workers,0.001215184951149565,0.001215184951149565
Clerical/Admin.,0.0018615671010323235,0.0018615671010323235
"Consultants, apprentices ",0.00294303132226193,0.00294303132226193
Technicians & Trades Workers,0.003608269304240778,0.003608269304240778
Professionals,0.003698343785174465,0.003698343785174465
Managers,0.004925516578567996,0.004925516578567996
