Taxable income decile,tot_CG,prop_CG
1,5951074,0.0207043161014542
2,4391126,0.0152771181714955
3,4820917,0.0167723993126072
4,6324328,0.0220028999876792
5,6937630,0.0241366322305742
6,7031656,0.0244637570530441
7,9372517,0.0326078208125547
8,13285919,0.046222894669822
9,23928395,0.0832490158718336
10,205388004,0.714563145788936
