income_quintile,comp_adequacy.75pc,comp_adequacy.100pc,comp_adequacy.125pc
1,0.854266826923077,0.737379807692308,0.615084134615385
2,0.689125799573561,0.474626865671642,0.313006396588486
3,0.0879945429740791,0.0375170532060027,0.0170532060027285
4,0.00739644970414201,0.0029585798816568,0.0014792899408284
5,0,0,0
