"Income_decile","avg.net.capital.gains","avg.tot.capital.gains","min_income","max_income"
1,239.445,889.852,0,9325
2,108.295,370.403,9325,18276
3,128.327,468.979,18276,24293.2
4,181.042,644.247,24294,30675.4
5,171.864,566.57,30675.4,36259.8
6,194.473,612.777,36259.8,42131.3
7,286.151,822.101,42131.3,49454.6
8,326.684,905.79,49454.6,59565.4
9,708.466,1846.22,59565.4,75560.1
10,4616.49,10747.5,75560.1,6.57043e+006
