"Selected items"	"unit"	"1978-79"	"1979-80"	"1980-81"	"1981-82"	"1982-83"	"1983-84"	"1984-85"	"1985-86"	"1986-87"	"1987-88"	"1988-89"	"1989-90"	"1990-91"	"1991-92"	"1992-93"	"1993-94"	"1994-95"	"1995-96"	"1996-97"	"1997-98"	"1998-99"	"1999-00"	"2000-01"	"2001-02"	"2002-03"	"2003-04"	"2004-05"	"2005-06"	"2006-07"	"2007-08"	"2008-09"	"2009-10"	"2010-11"	"2011-12"	"2012-13"	"2013-14"
"Other business and professional items"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Trade debtors"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23215	23385	23360	23070	22545	21715	20639	18908
"Trade debtors"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	739525235	737716585	734988091	720286102	719862076	700597386	664115196	580900771
"Trade creditors"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	26015	25535	24540	23655	22895	21803	20376	18304
"Trade creditors"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	982204862	1056263530	1012398052	921774122	924475790	880290386	945690874	692863942
"Total salary and wage expenses"	"no."	96420	133045	132500	131070	129325	133925	130035	135450	129665	130950	NA	71430	103670	94145	99440	103810	102825	110755	107670	104420	100995	99370	84360	82355	81055	81205	80555	81830	81785	81295	78195	77615	78375	78330	78854	76762
"Total salary and wage expenses"	"$"	642293000	1002053000	1086952000	1132165000	1152805000	1290828000	1377278000	1573168000	1.614e+09	1.79e+09	NA	1.417e+09	1.966e+09	1.899e+09	2.048e+09	2.212e+09	2.299e+09	2557614574	2545241514	2608812000	2633834912	2845436815	3006357622	2913659834	3105428964	3248363873	3249287071	3415005889	3650105131	3891003411	3889612354	3952762305	4072425919	4186921808	4289824788	4258041755
"Payments to associated persons"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	34965	36790	35490	36975	35805	35245	36525	35260	34545	30670	29205	21600	20925	20090	19455	19105	20000	19620	19765	19520	20490	21160	21655	22692	23073
"Payments to associated persons"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.53e+08	4.16e+08	4.1e+08	4.47e+08	4.55e+08	4.66e+08	499315856	490909920	497635862	649248556	709629837	643020232	572555496	459888489	425403652	436380756	462962003	496404743	509425885	531025133	563104463	570549026	607928748	626656350	637911128
"Intangible depreciating assets first deducted"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2015	1505	1270	1250	1235	1295	1455	1305	1350	1165	1093	1987	2058
"Intangible depreciating assets first deducted"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	26296851	15886596	16686390	15059636	20025510	16399722	25117562	19406522	15726453	15403966	13652160	24569297	24690590
"Other depreciating assets first deducted"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	117990	122155	127285	125045	103710	91915	113000	111245	115155	104640	97944	69793	77780
"Other depreciating assets first deducted"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1534781334	1530550437	1831564636	1724267596	1381911687	1322649791	1600098085	1616658474	1756198117	1351063957	1273864105	1013183829	1038030503
"Termination value of intangible depreciating assets"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	880	765	740	630	540	560	605	560	520	420	439	526	471
"Termination value of intangible depreciating assets"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16415912	17335954	23171316	20331013	19077402	17555961	18836554	15073555	17272067	14334693	10405928	16898553	10507817
"Termination value of other depreciating assets"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	42720	37680	35520	32215	26195	23850	26800	25495	26195	23195	21707	17012	14931
"Termination value of other depreciating assets"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	871585740	721159033	742538595	723505337	596818290	584953000	715777676	635529275	650990001	555486003	522027303	416288797	342783447
