"Selected items"	"unit"	"1978-79"	"1979-80"	"1980-81"	"1981-82"	"1982-83"	"1983-84"	"1984-85"	"1985-86"	"1986-87"	"1987-88"	"1988-89"	"1989-90"	"1990-91"	"1991-92"	"1992-93"	"1993-94"	"1994-95"	"1995-96"	"1996-97"	"1997-98"	"1998-99"	"1999-00"	"2000-01"	"2001-02"	"2002-03"	"2003-04"	"2004-05"	"2005-06"	"2006-07"	"2007-08"	"2008-09"	"2009-10"	"2010-11"	"2011-12"	"2012-13"	"2013-14"
"Motor vehicle expenses"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.507e+09	1.565e+09	1.636e+09	1.763e+09	1.842e+09	1.954e+09	2170103222	2180086045	2295257158	2410215305	2716303702	2567632305	2687433793	2877131444	3038319948	3202318639	3453871140	3600263246	3856821274	3779967729	3858826665	5401944249	4054026602	3916508150	3807347739
"Repairs and maintenance expenses"	"no."	NA	358455	NA	NA	NA	624235	NA	NA	NA	NA	NA	207370	227495	247565	267280	278360	282765	302095	297080	304375	303600	306950	289995	294225	298295	300335	298090	294055	291330	289535	279405	279110	277110	270891	264280	254527
"Repairs and maintenance expenses"	"$"	NA	299202000	NA	NA	NA	571373000	NA	NA	NA	NA	NA	4.04e+08	4.11e+08	4.22e+08	4.77e+08	5.13e+08	5.23e+08	582390298	581949004	611967853	624960419	673796136	647592983	723934563	719006267	743678089	759456552	767633547	794646512	837850346	824894718	819776631	884971593	880474119	861904423	830126119
"All other expenses"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	616270	684245	722040	740845	791975	789440	817985	848390	894825	824760	855110	895110	933995	965700	996925	1029480	1055075	1037335	1064270	1077625	1080031	1059092	1025766
"All other expenses"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.298e+09	9.186e+09	1.0118e+10	1.1023e+10	12743418837	13402233413	14359089508	14898230244	16803996063	16849458338	18439155809	20298139198	21846437163	23352162769	24593447060	26155271186	27832879569	27014963228	27242165958	27795167510	28310942860	28586801636	28123886830
"Total business expenses primary production2"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	131935	126050	114910	108400	102520	98418	94321	85148
"Total business expenses primary production2"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5890667179	6048858448	5705928078	5305634617	5333913109	5388940081	5384188816	5310956265
"Total business expenses non-primary production2"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	968265	1003330	995550	1033665	1052145	1058873	1043878	1013209
"Total business expenses non-primary production2"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	73938715700	84880056155	77841987383	83188700533	77681699661	77381688456	69214547415	65571082040
"Total business expenses2"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1082165	1111750	1093875	1126350	1139490	1142505	1124955	1086631
